team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Atlanta Hawks*,0.474,0.47,0.219,0.247,0.768,44.5,44.7,23,7.7,7.3,17,105.1,104.6,27.7,0,1
Boston Celtics*,0.499,0.47,0.266,0.192,0.74,44.7,41.1,25.4,7.8,8.1,17.4,109.8,103.5,26.8,1,1
Chicago Bulls,0.501,0.495,0.254,0.299,0.767,44.5,41,24.9,7.1,9.8,19.9,106.6,108.6,27.1,1,0
Cleveland Cavaliers,0.464,0.512,0.182,0.298,0.747,41,44.6,22.8,7.7,8,16.1,103.3,111.8,25.3,0,0
Dallas Mavericks,0.469,0.508,0.289,0.225,0.735,42.5,42.8,26.1,7,7.9,16.3,105.9,110.4,27.7,0,0
Denver Nuggets*,0.52,0.524,0.268,0.282,0.796,39.6,42.1,25,7.3,8.3,16.2,114.3,113.9,27,0,1
Detroit Pistons,0.482,0.509,0.244,0.234,0.751,42.3,41.7,23.5,8.6,9.1,18.9,105.8,106.6,27.7,0,0
Golden State Warriors,0.496,0.49,0.28,0.233,0.717,44.7,42.1,21.8,8.2,7.9,17,108.8,107.7,25.8,0,0
Houston Rockets*,0.476,0.497,0.284,0.238,0.729,46,43.3,24.7,8.1,8.5,16.5,108.3,108.3,25.5,1,1
Indiana Pacers,0.465,0.491,0.326,0.186,0.741,43.1,46.6,23.3,9.2,8.3,17.1,102.7,104.6,24.7,1,0
Kansas City Kings,0.495,0.5,0.2,0.304,0.719,39.9,44.2,24.4,8.8,8.4,17.9,104.2,107.2,25.3,1,0
Los Angeles Lakers*,0.517,0.488,0.138,0.366,0.717,44.1,41.4,27.6,9.9,8.4,17.2,110.2,105.5,23.5,1,1
Milwaukee Bucks*,0.505,0.467,0.299,0.254,0.753,43.4,40.3,27.1,9.2,8.7,19.3,107.7,102.3,26.5,1,1
New Jersey Nets*,0.484,0.482,0.205,0.31,0.728,41.4,41.1,24.7,10.8,9.8,19.4,103,102.3,25.5,0,1
New York Knicks,0.491,0.505,0.271,0.304,0.738,41.9,42.5,25.2,8.7,8.6,18.1,106,108.6,24.5,1,0
Philadelphia 76ers*,0.518,0.476,0.295,0.259,0.747,41.1,43.7,27.2,10.3,8.4,17.7,109.6,103.9,26.6,1,1
Phoenix Suns*,0.491,0.466,0.31,0.255,0.758,44.3,42.8,27,9.2,9.4,18.6,105.8,102.4,25.1,1,1
Portland Trail Blazers,0.505,0.499,0.207,0.262,0.72,42.2,43.3,24.8,8.5,8.5,16.8,108.8,108.2,25.9,1,0
San Antonio Spurs*,0.486,0.483,0.254,0.291,0.776,44.9,42.5,26.7,7.1,7.2,15.3,109.9,107.6,25.8,1,1
San Diego Clippers,0.5,0.526,0.293,0.247,0.723,39.9,39.6,22.5,7.6,9.2,18.8,106.6,113.8,25.4,0,0
Seattle SuperSonics*,0.488,0.461,0.248,0.239,0.74,44.1,44.3,25.4,8.4,8,16.3,106.4,102.3,26,0,1
Utah Jazz,0.494,0.509,0.227,0.255,0.751,41,45,22.1,8.2,7.7,16.8,106.2,111.7,24,0,0
Washington Bullets*,0.474,0.465,0.25,0.24,0.772,44.2,44.2,24.2,7.8,7.6,16,103.3,102.5,23.2,0,1
Atlanta Hawks*,0.469,0.47,0.239,0.235,0.751,43.8,47.5,23.9,7,8,17.5,102.2,103.2,24.3,1,1
Boston Celtics*,0.492,0.47,0.21,0.267,0.737,44.3,41.6,25.8,9.2,8.1,17.9,106.9,101.8,24.9,1,1
Chicago Bulls,0.48,0.495,0.215,0.261,0.737,43.1,41.5,23.7,7.6,9.6,19.8,103.4,108,25.7,0,0
Cleveland Cavaliers,0.465,0.489,0.25,0.219,0.721,44.7,41.8,21.6,7.7,7.7,19.1,99.2,106.8,22.8,0,0
Dallas Mavericks,0.487,0.502,0.232,0.262,0.752,43.5,43.2,26.4,6.5,7.2,16,109.4,109.8,26.4,0,0
Denver Nuggets*,0.494,0.505,0.19,0.281,0.808,40.6,44.1,25.4,8.6,7.9,16.2,109.7,109.1,25.6,1,1
Detroit Pistons,0.477,0.495,0.265,0.115,0.742,43.2,44,24,7.7,8.7,17.8,105.4,105.8,26.5,0,0
Golden State Warriors,0.483,0.51,0.227,0.251,0.737,41.6,43.7,22.9,10,8.8,18.7,103.9,107.4,23.6,0,0
Houston Rockets,0.448,0.503,0.247,0.264,0.725,41.3,46.5,23,7.7,9.2,18.7,97,108.3,23,1,0
Indiana Pacers,0.48,0.517,0.212,0.282,0.758,41.8,43.9,25,8.8,8.9,17.9,103.8,109.4,22,0,0
Kansas City Kings,0.497,0.487,0.237,0.213,0.727,41.7,41.6,24.5,8.7,9.2,19.3,106.2,104.9,25.6,0,0
Los Angeles Lakers*,0.528,0.49,0.104,0.259,0.736,43,40.5,29.5,9.9,9,18.6,110.5,105.2,21.8,1,1
Milwaukee Bucks*,0.489,0.456,0.219,0.182,0.753,43.2,44.1,25.6,8,7.5,17.5,105.8,101.4,26,1,1
New Jersey Nets*,0.492,0.478,0.201,0.216,0.705,43.3,38.4,25.1,10.7,10.1,21.9,101.6,98.9,24.9,1,1
New York Knicks*,0.482,0.475,0.252,0.229,0.71,41.8,42.6,25.4,8.8,8.7,18.8,102.4,99.9,26.4,0,1
Philadelphia 76ers*,0.499,0.461,0.229,0.217,0.742,46.3,42.3,23.8,9.6,8.9,19.2,108.3,100.9,26.5,1,1
Phoenix Suns*,0.497,0.455,0.253,0.221,0.743,43.3,42.3,27.5,9,8.5,18.5,105.1,100.1,24.4,1,1
Portland Trail Blazers*,0.486,0.486,0.233,0.293,0.738,42.8,42,24.4,9,7.9,18,106,103.9,26.9,0,1
San Antonio Spurs*,0.504,0.485,0.305,0.254,0.765,45,40.2,26.5,7.9,7.7,17.7,110.1,106.6,25.8,1,1
San Diego Clippers,0.475,0.529,0.244,0.246,0.724,41.2,40.7,24.5,9.6,9.3,18.8,104.7,109.3,23.1,0,0
Seattle SuperSonics*,0.494,0.46,0.21,0.249,0.73,43.7,43.6,26.8,8,8.5,18,105.9,102.8,25.3,1,1
Utah Jazz,0.48,0.478,0.24,0.241,0.756,41.2,46.5,24.6,8.6,9.4,19.1,101.2,105.1,23.8,0,0
Washington Bullets,0.468,0.468,0.295,0.227,0.705,43,44.2,24.9,8.9,8.5,19.4,99.1,99.3,24.1,1,0
Atlanta Hawks*,0.474,0.479,0.217,0.211,0.761,42.4,45.7,23.2,7.9,7.3,16.9,105.5,106.9,26.5,1,1
Boston Celtics*,0.5,0.47,0.24,0.324,0.792,44.6,40.1,25.6,8.1,8.5,17.1,110.9,104.4,25.2,1,1
Chicago Bulls,0.474,0.494,0.171,0.203,0.746,41.4,42.3,25.2,8.3,9.5,19,102.4,107.5,25.4,0,0
Cleveland Cavaliers,0.465,0.487,0.262,0.263,0.743,44.7,42.1,24,7.8,7.2,16.5,104.1,108.5,23.7,0,0
Dallas Mavericks*,0.5,0.499,0.228,0.284,0.755,40.8,42.8,26.3,7,7.7,15.8,110,109.6,26.9,0,1
Denver Nuggets*,0.493,0.518,0.302,0.302,0.818,39.2,43.5,27.2,7.8,7.4,14.7,111.3,112.3,24.9,1,1
Detroit Pistons*,0.48,0.496,0.227,0.262,0.775,44.8,42,26.2,8.1,7.2,15.2,111.5,108.1,25.4,0,1
Golden State Warriors,0.467,0.517,0.243,0.211,0.743,41.7,43.6,21.5,9.7,8.1,17.8,105.5,108.8,26.3,0,0
Houston Rockets,0.495,0.483,0.195,0.268,0.74,42.7,42.4,25.6,7.2,9.1,18.1,105.3,108.2,22.2,0,0
Indiana Pacers,0.483,0.495,0.232,0.199,0.766,40.4,44.6,25.8,9.9,9,18.1,101.8,106.5,22.9,0,0
Kansas City Kings*,0.486,0.502,0.275,0.201,0.777,40.4,41.5,26.3,8.4,7.8,17.8,106.5,108,25.9,0,1
Los Angeles Lakers*,0.532,0.483,0.257,0.283,0.754,42.1,39.9,28.7,8.5,9.3,18.5,110.9,107.3,23.1,1,1
Milwaukee Bucks*,0.492,0.456,0.254,0.207,0.74,43.8,43.4,26.3,8,8.1,17.6,107.8,103.6,26,1,1
New Jersey Nets*,0.498,0.491,0.211,0.265,0.7,41.6,40,25.3,9.6,9.2,18.9,106.1,105,25.4,1,1
New York Knicks*,0.495,0.488,0.285,0.275,0.775,40.5,39.3,24.9,9.8,8.8,19.4,107,103.1,26.8,1,1
Philadelphia 76ers*,0.495,0.48,0.271,0.227,0.754,43,41.9,24.5,9.7,9.7,19.7,106.8,104.6,27,1,1
Phoenix Suns*,0.509,0.497,0.254,0.247,0.759,40.2,40.7,26.5,8.3,8.1,17.4,108.9,108,24.4,1,1
Portland Trail Blazers*,0.505,0.514,0.194,0.274,0.754,41.3,38.9,25,9.8,7.8,17.8,111.2,107.7,26.2,1,1
San Antonio Spurs,0.506,0.505,0.3,0.241,0.755,42.4,42.3,26.6,7.7,7.4,16.3,111.2,111.4,24.7,1,0
San Diego Clippers,0.496,0.509,0.188,0.283,0.736,44.4,39.4,23.8,6.8,8.7,18.2,109.2,112.4,24.6,0,0
Seattle SuperSonics*,0.488,0.489,0.193,0.237,0.78,41.3,43.5,27.2,7.7,8.1,16.6,107.9,108.1,25.5,1,1
Utah Jazz*,0.498,0.476,0.319,0.221,0.781,41.8,45.3,25.8,8,8.6,17.5,109,108,25.4,0,1
Washington Bullets*,0.484,0.489,0.252,0.215,0.756,42.2,42.3,27.1,6.9,8.7,17.9,104,107,25,0,1
Atlanta Hawks,0.484,0.482,0.311,0.217,0.752,42.5,45.3,24.3,8.1,8.2,17.9,105.9,107.3,23.9,1,0
Boston Celtics*,0.508,0.477,0.356,0.264,0.806,44.9,40.7,27.4,7.7,7.7,16,112.8,106.3,23.5,1,1
Chicago Bulls*,0.5,0.488,0.18,0.312,0.784,41.9,41.4,24.3,7.6,8.1,17.8,108.7,109.6,24.9,0,1
