team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Philadelphia 76ers,0.474,0.496,0.323,0.338,0.764,44.3,41.9,23.8,8.4,9,18,108.8,110.3,26.6,1,0
Phoenix Suns,0.486,0.498,0.331,0.304,0.764,42,42.3,28,8.1,8.5,17,107,111.4,22.8,0,0
Portland Trail Blazers*,0.491,0.476,0.308,0.305,0.77,43.9,41.7,27.1,8.5,7.6,15.9,111.8,107.4,25.1,1,1
Sacramento Kings,0.471,0.498,0.32,0.324,0.772,44.4,43,25.4,7,9.4,17.5,106.5,112.1,23.5,0,0
San Antonio Spurs*,0.49,0.502,0.323,0.349,0.733,40.9,44.2,27.2,8.6,8,16.5,108.2,112.8,22.9,0,1
Seattle SuperSonics*,0.476,0.485,0.346,0.325,0.748,43.7,41.4,25.9,9.3,7.3,16.6,110.2,108.1,23.7,1,1
Utah Jazz*,0.491,0.449,0.319,0.315,0.75,43.4,44.6,28.9,9.2,9.2,17.8,106.8,103.1,24.1,1,1
Washington Bullets*,0.468,0.478,0.21,0.328,0.773,43.4,44.2,23.1,8.6,8.5,17,106,107.2,24.2,1,1
Atlanta Hawks*,0.472,0.472,0.277,0.288,0.8,45.4,44.2,24.5,10.1,8.5,16.1,112.2,107.2,26,1,1
Boston Celtics*,0.493,0.484,0.252,0.29,0.783,44.8,40.4,27.1,7.9,9.4,16.5,110.8,109.6,24.1,1,1
Charlotte Hornets,0.461,0.5,0.312,0.288,0.767,40.4,46.1,28.1,8.5,8.6,15.9,103.7,112.1,21.7,0,0
Chicago Bulls*,0.495,0.474,0.328,0.327,0.786,43.4,42.3,27.7,9,8.6,16.6,109.1,107.7,22.3,1,1
Cleveland Cavaliers*,0.502,0.461,0.359,0.339,0.747,43.5,43.3,28,9.8,8.5,16.4,110.6,102.9,24.4,1,1
Dallas Mavericks,0.469,0.469,0.31,0.322,0.789,43.6,47.2,23.6,7.3,8.4,15.6,107.4,108.6,23.7,1,0
Denver Nuggets*,0.468,0.495,0.337,0.352,0.787,41.8,44.9,25.6,9.1,7.5,13.8,108.6,107.1,22.5,1,1
Detroit Pistons*,0.494,0.447,0.3,0.285,0.769,46.9,42.1,25.7,6.6,8.2,16.9,110.8,104.7,26.5,1,1
Golden State Warriors*,0.468,0.462,0.308,0.342,0.799,43.6,45.8,22.6,9.3,9.7,16.7,107.4,107.7,21.7,0,1
Houston Rockets*,0.474,0.468,0.314,0.35,0.755,44.7,42.4,23.9,9.4,9.5,18.6,105.7,104.8,23.9,1,1
Indiana Pacers,0.487,0.467,0.328,0.305,0.789,43.4,43.9,24.5,6.9,10.2,18.9,106.8,111,24.7,0,0
Los Angeles Clippers,0.475,0.484,0.231,0.342,0.723,41,45,25.6,9.4,10.8,19.3,100.8,110.2,21.8,0,0
Los Angeles Lakers*,0.502,0.47,0.34,0.33,0.802,44.8,41.1,27.6,8.8,9.1,16.3,113.8,106.7,23.5,1,1
Miami Heat,0.453,0.488,0.326,0.343,0.702,42.9,43.4,23.9,9.1,11.3,21.1,97.8,109,22.3,0,0
Milwaukee Bucks*,0.474,0.478,0.316,0.368,0.821,42,42.3,25.5,10.1,8.7,16.1,110.1,106.4,23.9,1,1
New Jersey Nets,0.461,0.497,0.329,0.309,0.731,43.9,42.5,21.7,9.4,9,17.5,103,109.3,22.2,0,0
New York Knicks*,0.486,0.494,0.337,0.285,0.752,41.6,41.1,24.2,10.4,9,18.3,111.1,107.5,22,1,1
Philadelphia 76ers*,0.486,0.501,0.316,0.343,0.787,43.1,43.9,26,8.5,7.9,14.9,113,111.5,24.4,0,1
Phoenix Suns*,0.498,0.464,0.349,0.319,0.791,43.2,43.1,26.5,8.1,7.3,14.9,113.1,105.7,23.9,0,1
Portland Trail Blazers*,0.474,0.488,0.335,0.363,0.74,43.8,41.3,25.8,9.6,8.6,16.7,109.4,108,22.8,1,1
Sacramento Kings,0.457,0.484,0.373,0.316,0.77,43.4,45.6,23.8,7.5,9.2,16.5,104.5,110,22,0,0
San Antonio Spurs,0.468,0.488,0.215,0.323,0.698,40.5,43.4,23.8,11.2,10.7,20,100.9,107.9,22.6,1,0
Seattle SuperSonics*,0.477,0.486,0.379,0.311,0.746,44.1,41.7,25.3,10.5,8.1,17,111.5,108.6,22.8,1,1
Utah Jazz*,0.482,0.434,0.3,0.305,0.77,45.4,42.9,26.2,8.9,9.7,19,106.6,101.5,25.9,1,1
Washington Bullets,0.464,0.482,0.214,0.304,0.772,43.2,44,24.5,8.3,7.9,15.5,106.4,108.5,23,1,0
Atlanta Hawks,0.487,0.496,0.302,0.34,0.764,43.9,43,23.1,9.1,8.5,16.1,113,111.9,24.9,1,0
Boston Celtics*,0.498,0.466,0.262,0.319,0.832,46.8,41.7,30.1,6.7,9.1,15.6,112,107.9,22.9,1,1
Charlotte Hornets,0.455,0.497,0.336,0.314,0.756,39.3,46.9,25.8,9.6,7.9,15.2,102,109.9,21.7,0,0
Chicago Bulls*,0.498,0.493,0.374,0.351,0.778,42,42.1,27.2,10.2,8.3,15.6,112.3,109,21.8,1,1
Cleveland Cavaliers*,0.461,0.479,0.407,0.312,0.744,44.6,45.6,26.8,8.2,8.6,15.8,106.9,107.2,24.1,1,1
Dallas Mavericks*,0.475,0.469,0.323,0.298,0.767,44.3,45.3,22.7,8.5,8.3,15.7,107.2,107.2,23.4,0,1
Denver Nuggets*,0.464,0.489,0.337,0.317,0.789,42.6,44.5,26.2,9.4,7,13.1,108,106.7,22,1,1
Detroit Pistons*,0.478,0.447,0.327,0.333,0.761,46.8,42.6,25.6,6.6,7.8,15.8,109.9,103.5,26.6,1,1
Golden State Warriors,0.484,0.478,0.324,0.356,0.809,38,47,22.7,8.7,9.4,16.3,109.6,112.6,25.5,1,0
Houston Rockets*,0.48,0.464,0.312,0.293,0.72,46.2,43.5,26.3,9.7,9.5,18.1,104.8,103.4,21.8,1,1
Indiana Pacers*,0.497,0.482,0.382,0.32,0.816,41.4,43.2,25.2,6.9,8.9,16.7,111.5,111.4,25.1,0,1
Los Angeles Clippers,0.484,0.476,0.243,0.323,0.738,41.8,43,24.2,9.6,10.1,18.9,104,107.4,23.8,0,0
Los Angeles Lakers*,0.49,0.467,0.367,0.337,0.787,44.6,42.3,28,8.2,8.4,15.4,114,107,24,1,1
Miami Heat,0.461,0.488,0.293,0.342,0.687,42.8,43.3,23.6,8.9,10.4,18.8,99.3,108.9,21.5,0,0
Milwaukee Bucks*,0.473,0.479,0.312,0.321,0.758,41.4,44,25.3,10.2,8.5,16.2,107.3,108.1,23.2,1,1
Minnesota Timberwolves,0.446,0.482,0.248,0.33,0.747,43.1,44.8,24.5,10.5,7.7,15.9,103.6,108.2,23.2,0,0
New Jersey Nets,0.426,0.485,0.277,0.336,0.746,45.2,45.8,18.1,9.5,9.4,16.7,100.7,108.6,23.1,0,0
New York Knicks*,0.484,0.471,0.332,0.315,0.756,44.5,43.5,26.4,8.8,8.9,17.4,109.4,108,23,1,1
Orlando Magic,0.459,0.498,0.295,0.353,0.756,43.9,43.5,23.2,7.2,8.5,16.4,105.8,114.3,24,0,0
Philadelphia 76ers*,0.489,0.48,0.348,0.37,0.788,44.2,43.6,24.3,8.6,8,15.2,113.5,108.4,24.4,1,1
Phoenix Suns*,0.496,0.465,0.324,0.355,0.795,44.5,42.5,25.3,8,8.1,15.3,113.1,106.2,25.8,1,1
Portland Trail Blazers*,0.473,0.464,0.336,0.331,0.743,46.1,40.3,24.6,8.8,7.9,16,110.5,104.4,24.6,1,1
Sacramento Kings,0.468,0.473,0.333,0.316,0.771,41.6,46.2,25.8,6.9,8.8,15.6,104.8,110,21.9,0,0
San Antonio Spurs*,0.484,0.461,0.239,0.37,0.745,44.9,41.6,25.2,9.9,9.4,17.3,107.7,104.2,23.7,0,1
Seattle SuperSonics,0.479,0.486,0.355,0.342,0.741,45.3,40.6,23.7,8.9,8,16.9,110.9,109.8,22.7,1,0
Utah Jazz*,0.505,0.455,0.359,0.309,0.754,43.5,41.7,27.9,8.5,9.3,17.8,110.3,105.4,24.1,1,1
Washington Bullets,0.475,0.474,0.188,0.3,0.764,44.4,45.1,27,6.8,7.8,14.6,107.5,109.7,21.7,0,0
Atlanta Hawks*,0.464,0.494,0.324,0.349,0.8,45,44.1,23,9,8.5,15.2,110.9,110.1,25.1,0,1
Boston Celtics*,0.512,0.452,0.315,0.313,0.824,46.6,41.8,26.6,8.3,9.1,16.2,112.6,106.7,20.4,1,1
Charlotte Hornets,0.467,0.493,0.314,0.316,0.779,40.2,45.7,25.2,9.5,8.4,16.1,105,110.4,22.9,0,0
Chicago Bulls*,0.51,0.475,0.366,0.304,0.76,44.3,41,28.1,10.4,8,15,114.6,105.2,23.2,1,1
Cleveland Cavaliers,0.475,0.486,0.334,0.323,0.765,42.5,44.5,28.5,8.2,9,16.3,106.1,108.7,24.1,1,0
Dallas Mavericks,0.471,0.482,0.322,0.305,0.761,43,46.4,23.4,7.5,8.4,15.3,105.5,110.3,22.9,1,0
Denver Nuggets,0.44,0.512,0.283,0.386,0.763,43.3,46.1,21.5,9.2,8.1,14.3,105.2,114.7,19.7,1,0
Detroit Pistons*,0.465,0.453,0.298,0.312,0.763,48.2,43.2,24.1,6.4,7.7,15.6,108.2,104.6,26.2,1,1
Golden State Warriors*,0.485,0.482,0.337,0.322,0.783,40,44.1,22.9,9.4,8.5,15.9,111.9,110.3,25.8,0,1
Houston Rockets*,0.467,0.456,0.32,0.295,0.741,46.4,45.1,23.4,9.8,8.7,17.2,107.4,103.9,21.9,1,1
Indiana Pacers*,0.493,0.49,0.332,0.305,0.811,41.4,42.9,26.6,8,8.9,16.5,111.7,112.1,24.8,1,1
Los Angeles Clippers,0.464,0.467,0.26,0.336,0.702,45.5,43.8,25.7,8.8,9.4,17.4,103,106.5,22.9,0,0
Los Angeles Lakers*,0.484,0.462,0.304,0.311,0.798,45.2,42.7,26.9,8.3,8.6,15.5,112.1,105,23.4,1,1
Miami Heat,0.459,0.478,0.302,0.337,0.715,43.2,43.3,23.3,9.2,10.4,19,102,108.1,24,0,0
Milwaukee Bucks*,0.48,0.486,0.341,0.329,0.801,40.8,43,26.1,11.2,8.9,16.6,109.7,107.2,24,1,1
Minnesota Timberwolves,0.449,0.49,0.283,0.339,0.735,44.2,45.4,24.6,9.3,6.7,13.9,106.7,110.9,22.1,0,0
New Jersey Nets,0.444,0.468,0.275,0.308,0.739,45.7,46.5,21.7,9.1,10.1,17.4,102.9,107.4,23.1,0,0
New York Knicks*,0.485,0.476,0.332,0.336,0.77,44.2,43.8,27.5,8.1,9.2,17.5,107.1,107.3,23,1,1
Orlando Magic,0.455,0.478,0.358,0.331,0.743,44.7,43.8,22.1,7.3,8.6,17,105.9,109.9,24.2,0,0
Philadelphia 76ers*,0.475,0.476,0.316,0.297,0.79,43.5,45.9,22.8,8.5,8.6,15.4,107.9,108.1,23.3,1,1
Phoenix Suns*,0.496,0.462,0.319,0.312,0.77,44.9,42.1,26.6,8.3,8.2,15.7,112.6,106.1,24.8,1,1
Portland Trail Blazers*,0.485,0.456,0.377,0.323,0.753,45.1,41.2,27,8.7,7.6,15.7,112.8,104.3,24.9,1,1
Sacramento Kings,0.453,0.47,0.374,0.316,0.732,41.7,47.7,25.6,8.1,9,16.4,102,109.1,23.8,0,0
San Antonio Spurs*,0.488,0.448,0.273,0.31,0.766,46.5,41.6,26.3,8.2,9.8,17.7,107.8,103.3,24.7,1,1
Seattle SuperSonics*,0.492,0.488,0.319,0.327,0.75,42.6,40.9,25.6,10.8,9.1,17.6,109.7,108.5,22.8,0,1
Utah Jazz*,0.492,0.459,0.323,0.307,0.789,42.6,43,28.2,8.3,8.7,16.6,108.6,105.1,25.4,1,1
Washington Bullets,0.466,0.466,0.194,0.299,0.729,44.2,45.9,25.8,7.3,9,16.8,103,108.1,22,0,0
Atlanta Hawks,0.467,0.48,0.313,0.343,0.731,46.7,45.7,26.2,9.8,8.8,15.5,107.3,108.9,21.3,1,0
Boston Celtics*,0.492,0.456,0.306,0.308,0.808,46.6,44.5,26.2,8.1,8.6,14.8,110.8,107,20.7,1,1
Charlotte Hornets,0.477,0.496,0.317,0.324,0.755,42.1,45.7,27.2,9.8,7.4,15.2,107.1,110.9,20.9,0,0
Chicago Bulls*,0.508,0.46,0.304,0.332,0.744,46.3,41.7,29.2,8.6,8.1,13.9,115.5,104.5,23.1,1,1
Cleveland Cavaliers*,0.488,0.47,0.357,0.332,0.805,44.5,46.1,28.8,7.9,8.3,13.7,113.9,108.2,23.9,0,1
Dallas Mavericks,0.439,0.47,0.336,0.306,0.75,46.8,48.7,21,6.9,9.3,15.5,103,111.1,22.3,0,0
Denver Nuggets,0.442,0.48,0.301,0.35,0.738,45.6,44.8,19.1,9.5,9.6,17.8,100.7,108.6,22,0,0
Detroit Pistons*,0.465,0.453,0.314,0.338,0.743,48.1,44.6,25.2,7.2,8.5,16.1,107.5,105.3,25.4,1,1
Golden State Warriors*,0.507,0.482,0.333,0.331,0.746,41,43.9,24.1,10,9.3,15.8,113.6,109.9,23.6,1,1
Houston Rockets,0.475,0.463,0.343,0.341,0.738,44.5,46.2,26.1,8.3,9.4,17.5,106.2,108,21.2,1,0
Indiana Pacers*,0.494,0.468,0.354,0.338,0.79,44.3,43.3,29.1,8.6,9.9,17,111.7,109.9,24.1,1,1
Los Angeles Clippers*,0.473,0.459,0.289,0.346,0.72,44.2,45.1,25.7,10.3,8.8,15.9,105.8,104.7,23.5,0,1
Los Angeles Lakers*,0.456,0.48,0.267,0.292,0.766,43.9,47.4,23.6,9.9,7.8,14.3,107.7,108.9,24,1,1
Miami Heat*,0.461,0.493,0.342,0.347,0.79,44,44,21.7,8.3,9.1,17.1,106.7,110.9,24.4,0,1
Milwaukee Bucks,0.46,0.498,0.369,0.367,0.759,43.8,44.1,25.5,10.9,9.2,17.1,108.8,110.6,22.5,1,0
Minnesota Timberwolves,0.458,0.485,0.32,0.354,0.743,42.5,49,25.8,7.9,8.4,14.7,105,112.4,21.4,0,0
New Jersey Nets*,0.458,0.477,0.334,0.317,0.732,48.3,44.2,24,9.1,10,17.2,107,108.7,21.3,0,1
New York Knicks*,0.477,0.458,0.325,0.295,0.734,47.8,42.3,27.7,8.2,8.7,16.2,108.3,104.2,23.4,1,1
Orlando Magic,0.453,0.486,0.324,0.353,0.746,43.5,44.1,22.3,8,9.8,17.3,103.5,110.5,23.5,0,0
Philadelphia 76ers,0.471,0.483,0.334,0.307,0.775,43.6,45.8,22.7,9,8.9,16,108.3,109.7,22.9,1,0
Phoenix Suns*,0.492,0.459,0.381,0.307,0.776,44.5,43.5,26.9,8.2,8,15.1,112.1,106.2,23.6,1,1
Portland Trail Blazers*,0.473,0.454,0.344,0.303,0.754,46.9,41.9,25.2,9.2,8.4,16.2,111.4,104.2,23.9,1,1
Sacramento Kings,0.466,0.479,0.353,0.331,0.747,41.4,48,23.8,8.8,9.9,16.5,103.9,109.9,22.1,0,0
San Antonio Spurs*,0.476,0.452,0.292,0.347,0.736,47.7,43.7,25.4,9.2,9.5,16.5,107.5,104.1,22.8,1,1
Seattle SuperSonics*,0.474,0.475,0.317,0.337,0.783,44.9,42.5,23.8,9.8,8.8,16.8,110.7,108.8,23.4,1,1
Utah Jazz*,0.492,0.459,0.345,0.337,0.788,46,43,27.7,9,8.2,16,112.2,105.6,24.8,1,1
Washington Bullets,0.461,0.478,0.272,0.353,0.778,42.2,47.4,24.9,8.8,8.8,15.5,103.9,108.4,20.9,0,0
Atlanta Hawks*,0.466,0.496,0.355,0.337,0.742,45.1,43.3,25.9,10,9.1,16.6,109.3,110.2,23.3,0,1
Boston Celtics*,0.487,0.463,0.287,0.332,0.777,44.9,44.4,25.6,8.3,8.1,15,108.7,107.8,21.4,1,1
Charlotte Hornets*,0.487,0.472,0.326,0.311,0.771,43.7,45.5,26.2,7.7,7.3,16.1,109.5,109.7,23.3,0,1
Chicago Bulls*,0.482,0.474,0.365,0.361,0.733,46.8,43.2,27.9,10.2,7.8,14.4,112.9,106.1,22.7,1,1
Cleveland Cavaliers*,0.497,0.466,0.381,0.329,0.802,43.7,44.6,30,7.9,7.8,14.3,112.7,106,23.3,1,1
Dallas Mavericks,0.435,0.501,0.338,0.358,0.705,42.8,46.5,20.6,7.9,9.8,17.8,99.5,114.7,22.7,0,0
Denver Nuggets,0.46,0.461,0.304,0.343,0.756,46.4,44.4,21,7.9,9.1,17.1,104.6,106.3,24,0,0
Detroit Pistons,0.453,0.481,0.322,0.339,0.729,46.9,46.1,25.3,7.5,8.1,15,107.4,108.9,23.5,1,0
Golden State Warriors,0.482,0.482,0.35,0.343,0.717,43.6,42.6,24.3,8.4,10,17.6,109.2,110.2,24.1,1,0
Houston Rockets*,0.486,0.457,0.361,0.332,0.758,45.2,44.5,27.2,8.8,9.2,16.6,109.6,105.2,23,0,1
Indiana Pacers*,0.48,0.469,0.326,0.306,0.766,46.5,44.7,27.1,7.8,8.8,15.9,111.9,110.1,25.1,1,1
Los Angeles Clippers*,0.484,0.47,0.271,0.348,0.718,43.3,44.2,27.4,10.4,9.4,16.4,107.4,107.1,21.7,1,1
Los Angeles Lakers*,0.473,0.483,0.299,0.337,0.756,42.7,44.9,25.3,9.8,8.6,15.9,107.6,108.9,23.6,1,1
Miami Heat,0.456,0.476,0.354,0.339,0.771,44.6,43.8,21.4,7.7,8.3,16.3,107.7,108.9,26,1,0
Milwaukee Bucks,0.472,0.483,0.333,0.344,0.742,40,46.4,26.4,10.9,9.8,17.3,106.2,110.1,22.9,0,0
Minnesota Timberwolves,0.466,0.488,0.292,0.36,0.798,40.5,44.5,25.8,8.4,9.5,18.3,103.6,111.8,24.1,0,0
New Jersey Nets*,0.462,0.465,0.318,0.325,0.767,48,43.6,23.7,8.8,9.9,17.1,106.5,105.2,23.8,1,1
New York Knicks*,0.465,0.426,0.32,0.305,0.741,48.6,42.8,27.1,8.7,8.4,16.5,106.1,99.7,25.6,1,1
Orlando Magic,0.486,0.456,0.357,0.329,0.73,45.2,43.1,24.5,6.8,9,17.9,108.5,107.1,24.8,0,0
Philadelphia 76ers,0.456,0.486,0.351,0.358,0.786,42.3,47.6,24.9,8.2,9.6,16.7,104.6,110.4,21.9,0,0
Phoenix Suns*,0.493,0.479,0.363,0.333,0.753,44.5,41.9,25.4,9.2,8.6,16.6,113.3,106.7,24.9,1,1
Portland Trail Blazers*,0.458,0.468,0.326,0.342,0.745,45.4,43.2,24,9.4,7.9,14.8,108.3,105.2,25.4,1,1
Sacramento Kings,0.463,0.487,0.332,0.313,0.762,41.1,44.5,25,9.2,9.2,16.4,106.5,109.6,24.2,0,0
San Antonio Spurs*,0.49,0.458,0.341,0.361,0.765,43.8,44,25.5,7.4,8.3,15.5,109.6,106.8,25.3,1,1
Seattle SuperSonics*,0.486,0.469,0.357,0.337,0.761,43.9,41.6,24.1,11.9,8.3,16,112.3,104.9,23.4,1,1
Utah Jazz*,0.489,0.467,0.314,0.325,0.766,44.1,43.2,27.4,9.4,8.2,16,109.6,107.4,24.8,1,1
Washington Bullets,0.467,0.493,0.301,0.336,0.748,41.5,45.8,26.2,8.3,8.9,16.4,103.6,110.8,22.6,0,0
Atlanta Hawks*,0.461,0.455,0.323,0.315,0.752,47.4,45.3,26.5,11.8,8.3,16.1,107.2,101.7,22.2,1,1
Boston Celtics,0.472,0.477,0.289,0.347,0.73,43.1,45.9,24.3,8.5,8.7,15.7,104.2,108.7,21.9,1,0
Charlotte Hornets,0.476,0.471,0.367,0.346,0.764,43.4,45.7,27.5,9,7.8,15.7,108.4,108.6,21.9,1,0
Chicago Bulls*,0.476,0.463,0.354,0.323,0.705,46.7,42.6,27.8,9.8,9.6,17.2,106.1,102.7,22.8,1,1
Cleveland Cavaliers*,0.465,0.464,0.362,0.354,0.77,45.4,44.8,27,9.3,8.3,15,109.4,105.1,23.7,1,1
Dallas Mavericks,0.432,0.494,0.312,0.362,0.747,44,46.4,21,9.9,10.1,17.9,100.4,109.6,21.2,0,0
Denver Nuggets*,0.465,0.438,0.285,0.29,0.718,46.3,43.6,22.3,8.6,9.2,18,103.9,102.3,24.7,0,1
Detroit Pistons,0.452,0.473,0.344,0.334,0.731,43.2,48.8,22.8,7.8,9.3,16,102.7,110.9,20.7,0,0
Golden State Warriors*,0.492,0.468,0.339,0.351,0.664,43.8,45.7,26.9,9.8,10.3,17.5,108.3,106.5,22.9,0,1
Houston Rockets*,0.475,0.44,0.334,0.306,0.743,45.3,45.6,26.7,9.2,9.8,17.1,105.9,101.4,22.3,1,1
Indiana Pacers*,0.486,0.45,0.368,0.335,0.738,46.1,42.8,26.8,9.2,10.8,18.8,107.8,104.2,25.9,1,1
Los Angeles Clippers,0.467,0.473,0.303,0.349,0.709,43,47.7,26.4,9.8,10.9,18,102.9,108.6,21.8,1,0
Los Angeles Lakers,0.45,0.476,0.3,0.315,0.717,44.1,48.6,25.2,9.6,8.5,15.2,104.8,109.3,21.1,1,0
Miami Heat*,0.464,0.457,0.338,0.331,0.785,47.1,43.2,24,8.3,8.9,17,109.5,106.7,25.1,0,1
Milwaukee Bucks,0.447,0.491,0.325,0.362,0.702,42.3,46.2,25.1,10.3,9.9,17.3,102.5,109.3,22.9,0,0
Minnesota Timberwolves,0.457,0.472,0.329,0.308,0.772,42.8,43.7,25.3,7.7,10.6,19,101.9,109.2,23.8,0,0
New Jersey Nets*,0.445,0.458,0.327,0.318,0.762,48.8,46.5,24.1,8.8,9.1,15.2,107.2,104.9,24.1,1,1
New York Knicks*,0.46,0.431,0.348,0.307,0.746,48.6,42.7,27,9.8,8.9,17.8,105.7,98.2,24.8,1,1
Orlando Magic*,0.485,0.458,0.347,0.349,0.678,45.2,44.8,26.5,8.7,9.7,17,110.8,106.7,23.6,0,1
Philadelphia 76ers,0.455,0.484,0.338,0.331,0.714,43.1,48.2,23.1,8.4,10.2,17.3,101.7,109.7,21.9,0,0
Phoenix Suns*,0.484,0.474,0.33,0.328,0.728,46.2,42,28.5,9.4,9.4,16.4,111.7,106.8,23.5,1,1
Portland Trail Blazers*,0.454,0.469,0.353,0.357,0.743,46.3,43,25.5,9.1,8,14.9,108.1,105.5,23.9,1,1
Sacramento Kings,0.452,0.479,0.353,0.359,0.731,43.3,46.9,25.3,8.3,9.3,16.6,103.3,109.2,23.6,0,0
San Antonio Spurs*,0.475,0.446,0.349,0.333,0.742,51,43.7,25.5,7.6,8.5,16.1,110.4,104.6,24.1,1,1
Seattle SuperSonics*,0.484,0.453,0.335,0.345,0.745,43.2,41.9,27,13.5,8.8,16.1,111.1,101.5,24.1,1,1
Utah Jazz*,0.477,0.448,0.32,0.299,0.74,44.8,44.5,28.3,9.8,7.7,15.5,108.6,104.1,25,1,1
Washington Bullets,0.468,0.508,0.297,0.349,0.748,41.4,44.2,23.2,8.9,10.4,17.8,104.5,112.2,23.2,0,0
Atlanta Hawks*,0.447,0.463,0.341,0.347,0.724,45.4,46.3,23.6,9.9,8.2,16.4,106.6,105.2,24.4,1,1
Boston Celtics*,0.464,0.484,0.368,0.358,0.753,44.8,43.8,23,7.9,8.4,16.8,108.6,110.6,24.8,0,1
Charlotte Hornets*,0.474,0.454,0.397,0.333,0.777,42.9,46.1,27.5,8.2,7.1,16.3,109.6,106.1,24.7,0,1
Chicago Bulls*,0.476,0.457,0.373,0.349,0.726,44.7,43.7,25.9,10.5,9,17.1,109.5,104.3,24.9,1,1
Cleveland Cavaliers*,0.441,0.461,0.385,0.357,0.76,46.6,44,23.7,8.9,7.9,16.7,105.3,104.6,25.1,1,1
Dallas Mavericks,0.44,0.488,0.322,0.366,0.734,50.2,43.6,24.7,7.4,9.2,17.1,107.6,110.6,24.5,0,0
Denver Nuggets*,0.479,0.456,0.356,0.347,0.738,45.2,42.4,24.1,8.7,8.4,18.1,109.1,108.2,25.7,1,1
Detroit Pistons,0.461,0.476,0.354,0.363,0.741,41.3,46.7,24.4,9.2,9,17.2,105.1,112.9,22.8,0,0
Golden State Warriors,0.468,0.488,0.341,0.355,0.704,42.8,45.8,24.8,8,10.7,18.4,106.7,112.2,26.3,1,0
Houston Rockets*,0.48,0.453,0.368,0.376,0.749,42.9,45.9,26.6,9.3,9.6,17.1,109.7,107.4,23,1,1
Indiana Pacers*,0.477,0.456,0.38,0.364,0.751,45,43.2,25.3,9.5,9.3,18.1,109.6,105.6,27.7,1,1
Los Angeles Clippers,0.444,0.496,0.315,0.37,0.71,40.2,46.3,23.1,10.1,8.9,17.1,101.5,111.1,24.4,0,0
Los Angeles Lakers*,0.463,0.468,0.352,0.352,0.735,43.6,47.6,26.3,9.5,8.2,15.7,109.1,109.4,22.9,0,1
Miami Heat,0.467,0.471,0.369,0.361,0.736,43.9,44.2,23.2,8.6,8.6,16.8,108.2,109.9,24.7,1,0
Milwaukee Bucks,0.459,0.493,0.366,0.395,0.712,42.4,43.7,22.6,8.8,10,18.2,106.2,110.9,25.7,0,0
Minnesota Timberwolves,0.449,0.474,0.313,0.377,0.775,39.5,46.1,23.6,8.1,9.3,18.6,102.6,112.4,26.3,0,0
New Jersey Nets,0.436,0.461,0.319,0.374,0.759,49.5,45.7,24.7,7.1,9.6,17,105.2,108.6,25,1,0
New York Knicks*,0.467,0.437,0.368,0.341,0.734,45.3,44.4,27.4,7.9,8.5,17.4,107.2,103.8,25.4,1,1
Orlando Magic*,0.502,0.457,0.37,0.378,0.669,45.7,42.6,28.9,8.5,8.9,16.4,115.1,107.8,24.7,1,1
Philadelphia 76ers,0.448,0.465,0.379,0.363,0.737,44.4,46.1,20.9,8.6,9.5,18,104.1,109.7,24.8,0,0
Phoenix Suns*,0.482,0.477,0.369,0.34,0.756,43.3,43.8,27.7,8.7,8.3,14.7,114.5,110.4,25.6,1,1
Portland Trail Blazers*,0.451,0.456,0.365,0.372,0.697,49.3,41.3,24,8.7,8.3,15.7,109.7,105.7,25.2,1,1
Sacramento Kings,0.468,0.453,0.346,0.304,0.711,44.5,44.7,23.9,8.5,9.9,19,105.5,106.5,26.6,0,0
San Antonio Spurs*,0.484,0.454,0.375,0.341,0.738,47.1,42.4,24.5,8.4,8.1,15.9,111.7,105.4,26.4,1,1
Seattle SuperSonics*,0.491,0.453,0.376,0.343,0.758,43.2,41.5,26.8,11.6,8.3,16.4,114.8,106.3,25.7,1,1
Utah Jazz*,0.512,0.453,0.376,0.382,0.781,43,39.8,29.6,9.9,8.5,16.9,114.3,105.7,26.9,1,1
Washington Bullets,0.46,0.48,0.343,0.383,0.724,41.7,46.4,22.4,8.3,9,16.6,105.4,111.3,22.7,0,0
Atlanta Hawks*,0.448,0.474,0.355,0.36,0.757,45.2,45.4,21.8,10.5,7.9,16.7,109.4,108,24.5,1,1
Boston Celtics,0.456,0.481,0.371,0.357,0.714,43.6,45.5,22.4,8.2,8.4,16.3,106.4,109.9,24.6,1,0
Charlotte Hornets,0.47,0.489,0.384,0.396,0.77,42.8,43.7,25.1,7.7,7.1,16.4,111.2,111.8,24.1,1,0
Chicago Bulls*,0.478,0.448,0.403,0.35,0.746,48.8,41.6,27.1,9.9,7.9,15.7,115.2,101.8,24.8,1,1
Cleveland Cavaliers*,0.46,0.462,0.377,0.388,0.763,43,44.7,26.7,9.9,7.4,15.8,109.9,106.7,24.5,1,1
Dallas Mavericks,0.42,0.492,0.36,0.394,0.722,47.8,48.1,24.1,8.1,8.9,16,106.1,111.2,23.2,0,0
Denver Nuggets,0.451,0.459,0.346,0.367,0.743,46.5,43.6,24.3,6.8,8.1,16.6,105.2,108.1,24.9,1,0
Detroit Pistons*,0.459,0.443,0.404,0.366,0.751,45.9,44.6,22.2,7,7.7,16.8,107.9,105.1,26,0,1
